09:03:48.511 [background-preinit] INFO  o.h.v.i.util.Version - [<clinit>,21] - HV000001: Hibernate Validator 6.2.0.Final
09:03:49.146 [main] INFO  c.a.n.c.c.i.LocalConfigInfoProcessor - [<clinit>,67] - LOCAL_SNAPSHOT_PATH:C:\Users\Administrator\nacos\config
09:03:49.150 [main] INFO  c.a.n.c.r.client - [lambda$createClient$0,77] - [RpcClientFactory] create a new rpc client of 5a88d08a-775f-48b7-acea-50d7bc85ffc5_config-0
09:03:49.197 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 28 ms to scan 1 urls, producing 3 keys and 6 values 
09:03:49.231 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 17 ms to scan 1 urls, producing 4 keys and 9 values 
09:03:49.252 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 17 ms to scan 1 urls, producing 3 keys and 10 values 
09:03:49.500 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 243 ms to scan 195 urls, producing 0 keys and 0 values 
09:03:49.512 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 11 ms to scan 1 urls, producing 1 keys and 5 values 
09:03:49.527 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 12 ms to scan 1 urls, producing 1 keys and 7 values 
09:03:49.542 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 12 ms to scan 1 urls, producing 2 keys and 8 values 
09:03:49.708 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 164 ms to scan 195 urls, producing 0 keys and 0 values 
09:03:49.710 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [5a88d08a-775f-48b7-acea-50d7bc85ffc5_config-0]RpcClient init label, labels={module=config, Vipserver-Tag=null, source=sdk, Amory-Tag=null, Location-Tag=null, taskId=0, AppName=unknown}
09:03:49.711 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [5a88d08a-775f-48b7-acea-50d7bc85ffc5_config-0]Register server push request handler:com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$$Lambda$329/276748028
09:03:49.712 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [5a88d08a-775f-48b7-acea-50d7bc85ffc5_config-0]Register server push request handler:com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$$Lambda$330/373544591
09:03:49.713 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [5a88d08a-775f-48b7-acea-50d7bc85ffc5_config-0]Registry connection listener to current client:com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$1
09:03:49.713 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [5a88d08a-775f-48b7-acea-50d7bc85ffc5_config-0]RpcClient init, ServerListFactory =com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$2
09:03:49.720 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [5a88d08a-775f-48b7-acea-50d7bc85ffc5_config-0] Try to connect to server on start up, server: {serverIp='127.0.0.1', server main port=8848}
09:03:51.489 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [5a88d08a-775f-48b7-acea-50d7bc85ffc5_config-0] Try to connect to server on start up, server: {serverIp='127.0.0.1', server main port=8848}
09:03:52.495 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [5a88d08a-775f-48b7-acea-50d7bc85ffc5_config-0] Try to connect to server on start up, server: {serverIp='127.0.0.1', server main port=8848}
09:03:53.502 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [5a88d08a-775f-48b7-acea-50d7bc85ffc5_config-0] try to re connect to a new server ,server is  not appointed,will choose a random server.
09:03:53.503 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [5a88d08a-775f-48b7-acea-50d7bc85ffc5_config-0]Register server push request handler:com.alibaba.nacos.common.remote.client.RpcClient$ConnectResetRequestHandler
09:03:53.503 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [5a88d08a-775f-48b7-acea-50d7bc85ffc5_config-0]Register server push request handler:com.alibaba.nacos.common.remote.client.RpcClient$4
09:03:53.575 [main] INFO  c.a.n.c.c.i.Limiter - [<clinit>,56] - limitTime:5.0
09:03:53.885 [main] INFO  c.a.n.c.c.u.JvmUtil - [<clinit>,53] - isMultiInstance:false
09:03:54.807 [main] INFO  c.r.g.RuoYiGenApplication - [logStartupProfileInfo,639] - The following profiles are active: dev
09:03:55.633 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [5a88d08a-775f-48b7-acea-50d7bc85ffc5_config-0] fail to connect server,after trying 1 times, last try server is {serverIp='127.0.0.1', server main port=8848},error=unknown
09:03:56.842 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [5a88d08a-775f-48b7-acea-50d7bc85ffc5_config-0] fail to connect server,after trying 2 times, last try server is {serverIp='127.0.0.1', server main port=8848},error=unknown
09:03:56.993 [main] INFO  o.a.c.h.Http11NioProtocol - [log,173] - Initializing ProtocolHandler ["http-nio-9202"]
09:03:56.994 [main] INFO  o.a.c.c.StandardService - [log,173] - Starting service [Tomcat]
09:03:56.994 [main] INFO  o.a.c.c.StandardEngine - [log,173] - Starting Servlet engine: [Apache Tomcat/9.0.56]
09:03:57.121 [main] INFO  o.a.c.c.C.[.[.[/] - [log,173] - Initializing Spring embedded WebApplicationContext
09:03:58.154 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [5a88d08a-775f-48b7-acea-50d7bc85ffc5_config-0] fail to connect server,after trying 3 times, last try server is {serverIp='127.0.0.1', server main port=8848},error=unknown
09:03:58.620 [main] INFO  c.a.n.client.naming - [initNamespaceForNaming,63] - initializer namespace from System Property : null
09:03:58.621 [main] INFO  c.a.n.client.naming - [call,69] - initializer namespace from System Environment :null
09:03:58.621 [main] INFO  c.a.n.client.naming - [call,79] - initializer namespace from System Property :null
09:03:58.635 [main] INFO  c.a.n.c.r.client - [lambda$createClient$0,77] - [RpcClientFactory] create a new rpc client of 8199ce9f-1e94-46aa-a5a7-92ff0e516360
09:03:58.635 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [8199ce9f-1e94-46aa-a5a7-92ff0e516360]RpcClient init label, labels={module=naming, source=sdk}
09:03:58.637 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [8199ce9f-1e94-46aa-a5a7-92ff0e516360]RpcClient init, ServerListFactory =com.alibaba.nacos.client.naming.core.ServerListManager
09:03:58.637 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [8199ce9f-1e94-46aa-a5a7-92ff0e516360]Registry connection listener to current client:com.alibaba.nacos.client.naming.remote.gprc.redo.NamingGrpcRedoService
09:03:58.638 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [8199ce9f-1e94-46aa-a5a7-92ff0e516360]Register server push request handler:com.alibaba.nacos.client.naming.remote.gprc.NamingPushRequestHandler
09:03:58.638 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [8199ce9f-1e94-46aa-a5a7-92ff0e516360] Try to connect to server on start up, server: {serverIp='127.0.0.1', server main port=8848}
09:03:59.564 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [5a88d08a-775f-48b7-acea-50d7bc85ffc5_config-0] fail to connect server,after trying 4 times, last try server is {serverIp='127.0.0.1', server main port=8848},error=unknown
09:03:59.646 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [8199ce9f-1e94-46aa-a5a7-92ff0e516360] Try to connect to server on start up, server: {serverIp='127.0.0.1', server main port=8848}
09:04:00.653 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [8199ce9f-1e94-46aa-a5a7-92ff0e516360] Try to connect to server on start up, server: {serverIp='127.0.0.1', server main port=8848}
09:04:01.073 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [5a88d08a-775f-48b7-acea-50d7bc85ffc5_config-0] fail to connect server,after trying 5 times, last try server is {serverIp='127.0.0.1', server main port=8848},error=unknown
09:04:01.662 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [8199ce9f-1e94-46aa-a5a7-92ff0e516360] try to re connect to a new server ,server is  not appointed,will choose a random server.
09:04:01.662 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [8199ce9f-1e94-46aa-a5a7-92ff0e516360]Register server push request handler:com.alibaba.nacos.common.remote.client.RpcClient$ConnectResetRequestHandler
09:04:01.663 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [8199ce9f-1e94-46aa-a5a7-92ff0e516360]Register server push request handler:com.alibaba.nacos.common.remote.client.RpcClient$4
09:04:02.678 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [5a88d08a-775f-48b7-acea-50d7bc85ffc5_config-0] fail to connect server,after trying 6 times, last try server is {serverIp='127.0.0.1', server main port=8848},error=unknown
09:04:02.987 [main] INFO  o.a.c.h.Http11NioProtocol - [log,173] - Starting ProtocolHandler ["http-nio-9202"]
09:04:02.999 [main] INFO  c.a.n.client.naming - [registerService,112] - [REGISTER-SERVICE] public registering service ruoyi-gen with instance Instance{instanceId='null', ip='192.168.1.105', port=9202, weight=1.0, healthy=true, enabled=true, ephemeral=true, clusterName='DEFAULT', serviceName='null', metadata={preserved.register.source=SPRING_CLOUD}}
09:04:03.311 [main] INFO  c.a.n.client.naming - [shutdown,256] - com.alibaba.nacos.client.naming.cache.ServiceInfoHolder do shutdown begin
09:04:03.311 [main] INFO  c.a.n.client.naming - [shutdown,140] - com.alibaba.nacos.client.naming.backups.FailoverReactor do shutdown begin
09:04:03.613 [main] INFO  c.a.n.client.naming - [shutdown,142] - com.alibaba.nacos.client.naming.backups.FailoverReactor do shutdown stop
09:04:03.613 [main] INFO  c.a.n.client.naming - [shutdown,258] - com.alibaba.nacos.client.naming.cache.ServiceInfoHolder do shutdown stop
